id,vendor_id,model,jpg_url,h264_url,mjpg_url,resolution,shape,onvif,psia,ptz,infrared,varifocal,sd_card,upnp,created_at,updated_at,model_slug,audio_io,default_username,default_password,more_info,discontinued,wifi,poe,audio_url,official_url
2,hikvision,ds-2cd4012fwd-a-p-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Box,t,t,f,f,f,f,t,47:09.3,28:01.2,ds-2cd4012fwd-apw,t,admin,12345,,f,t,t,,
3,hikvision,ds-2cd4024f-a-p-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1920x1080,Box,t,t,f,f,f,f,t,47:09.4,28:01.2,ds-2cd4024f-apw,t,admin,12345,,f,t,t,,
4,hikvision,ds-2cd4032fwd-a-p-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Box,t,t,f,f,f,f,t,47:09.6,28:01.2,ds-2cd4032fwd-apw,t,admin,12345,,f,t,t,,
7,hikvision,ds-2cd6026fhwd-a,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1920x1080,Box,t,t,f,f,f,f,t,47:09.9,28:01.2,ds-2cd6026fhwd-a,t,admin,12345,,f,f,t,,
9,hikvision,ds-2cd4332fwd-i-z-h-s,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,t,f,t,47:10.2,28:01.3,ds-2cd4332fwd-izhs,f,admin,12345,,f,f,t,,
10,hikvision,ds-2cd4212f-i-z-h-s,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x1024,Bullet,t,t,f,t,t,f,t,47:10.3,28:01.3,ds-2cd4212f-izhs,f,admin,12345,,f,f,t,,
11,hikvision,ds-2cd4212fwd-i-z-h-s,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Bullet,t,t,f,t,t,f,t,47:10.4,28:01.3,ds-2cd4212fwd-izhs,f,admin,12345,,f,f,t,,
12,hikvision,ds-2cd4224f-i-z-h-s,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1920x1080,Bullet,t,t,f,t,t,f,t,47:10.6,28:01.3,ds-2cd4224f-izhs,f,admin,12345,,f,f,t,,
13,hikvision,ds-2cd4232fwd-i-z-h-s,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Bullet,t,t,f,t,t,f,t,47:10.7,28:01.4,ds-2cd4232fwd-izhs,f,admin,12345,,f,f,t,,
15,hikvision,ds-2cd4312fwd-i-z-h-s,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,t,f,t,47:10.9,28:01.4,ds-2cd4312fwd-izhs,f,admin,12345,,f,f,t,,
21,hikvision,ds-2cd864fwd-e,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Box,t,t,f,f,f,f,f,47:11.7,28:01.4,ds-2cd864fwd-e,t,admin,12345,,f,f,t,,
23,hikvision,ds-2cd893pf-nf-wd-e-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,pal:704x576;ntsc:704x480,Box,t,t,f,f,f,f,f,47:12.1,28:01.4,ds-2cd893pfnfwd-ew,t,admin,12345,,f,t,t,,
36,hikvision,ds-2cd2712f-i-s,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,f,f,t,47:13.7,28:01.4,ds-2cd2712f-is,f,admin,12345,,f,f,t,,
37,hikvision,ds-2cd2732f-i-s,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Dome,t,t,f,t,f,f,t,47:13.8,28:01.5,ds-2cd2732f-is,f,admin,12345,,f,f,t,,
38,hikvision,ds-2cd2112-i,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,f,f,t,47:13.9,28:01.5,ds-2cd2112-i,f,admin,12345,,f,f,t,,
73,hikvision,ds-2cd2515-iws-r,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,f,f,t,47:18.0,28:02.3,ds-2cd2515-iwsr,f,admin,12345,,f,t,t,,
72,hikvision,ds-2cd2415f-iw-r,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Box,t,t,f,t,f,f,t,47:17.9,28:02.3,ds-2cd2415f-iwr,t,admin,12345,,f,t,t,,
71,hikvision,ds-2cd6412fwd,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Box,t,t,f,f,f,f,t,47:17.8,28:02.3,ds-2cd6412fwd,t,admin,12345,,f,f,t,,
70,hikvision,ds-2cd8464f-eiw,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Box,t,t,f,t,f,f,t,47:17.6,28:02.4,ds-2cd8464f-eiw,f,admin,12345,,f,t,t,,
69,hikvision,ds-2cd2412f-i-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Box,t,t,f,t,f,f,t,47:17.5,28:02.4,ds-2cd2412f-iw,t,admin,12345,,f,t,t,,
68,hikvision,ds-2cd2432f-i-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Box,t,t,f,t,f,f,t,47:17.4,28:02.4,ds-2cd2432f-iw,t,admin,12345,,f,t,t,,
67,hikvision,ds-2cd8233f-ei-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,640x480,Bullet,f,f,f,t,t,f,f,47:17.3,28:02.5,ds-2cd8233f-eiz,f,admin,12345,,f,f,t,,
65,hikvision,ds-2cd8264f-ei-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Bullet,t,t,f,t,t,f,f,47:17.0,28:02.5,ds-2cd8264f-eiz,f,admin,12345,,f,f,t,,
64,hikvision,ds-2cd8255f-ei-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1920x1080,Bullet,t,t,f,t,t,f,f,47:16.9,28:02.5,ds-2cd8255f-eiz,f,admin,12345,,f,f,t,,
63,hikvision,ds-2cd8254fwd-ei-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Bullet,t,t,f,t,t,f,f,47:16.8,28:02.5,ds-2cd8254fwd-eiz,f,admin,12345,,f,f,t,,
62,hikvision,ds-2cd8254f-ei-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Bullet,f,f,f,t,f,f,f,47:16.7,28:02.6,ds-2cd8254f-eiz,f,admin,12345,,f,f,t,,
61,hikvision,ds-2cd855-ei3-ei5,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1920x1080,Bullet,t,t,f,t,f,f,f,47:16.6,28:02.6,ds-2cd855-ei3ei5,f,admin,12345,,f,f,t,,
56,hikvision,ds-2cd2612f-i-s,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Bullet,t,t,f,t,f,f,t,47:16.0,28:02.6,ds-2cd2612f-is,f,admin,12345,,f,f,t,,
55,hikvision,ds-2cd2632f-i-s,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Bullet,t,t,f,t,f,f,t,47:15.9,28:02.6,ds-2cd2632f-is,f,admin,12345,,f,f,t,,
52,hikvision,ds-2cd7164-e,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,f,f,f,f,47:15.5,28:02.7,ds-2cd7164-e,f,admin,12345,,f,f,t,,
51,hikvision,ds-2cd7153-e,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1600x1200,Dome,t,t,f,f,f,f,f,47:15.4,28:02.7,ds-2cd7153-e,f,admin,12345,,f,f,t,,
50,hikvision,ds-2cd2512-i-s-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,f,f,t,47:15.3,28:02.7,ds-2cd2512-isw,f,admin,12345,,f,t,t,,
49,hikvision,ds-2cd2532-i-s-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Dome,t,t,f,t,f,f,t,47:15.2,28:02.7,ds-2cd2532-isw,f,admin,12345,,f,t,t,,
48,hikvision,ds-2cd7233f-e-i-z-h,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,640x480,Dome,t,t,f,t,t,f,f,47:15.1,28:02.8,ds-2cd7233f-eizh,f,admin,12345,,f,f,t,,
47,hikvision,ds-2cd7264fwd-e-i-z-h,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,t,f,f,47:14.9,28:02.8,ds-2cd7264fwd-eizh,f,admin,12345,,f,f,t,,
46,hikvision,ds-2cd7255f-e-i-z-h,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1920x1080,Dome,t,t,f,t,t,f,f,47:14.8,28:02.8,ds-2cd7255f-eizh,f,admin,12345,,f,f,t,,
45,hikvision,ds-2cd7253f-e-i-z-h,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1600x1200,Dome,t,t,f,t,t,f,t,47:14.7,28:02.8,ds-2cd7253f-eizh,f,admin,12345,,f,f,t,,
44,hikvision,ds-2cd7254fwd-e-i-z-h,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Dome,t,t,f,t,t,f,f,47:14.6,28:02.9,ds-2cd7254fwd-eizh,f,admin,12345,,f,f,t,,
43,hikvision,ds-2cd7283f-e-i-z-h,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2560x1920,Dome,t,t,f,t,t,f,t,47:14.5,28:02.9,ds-2cd7283f-eizh,f,admin,12345,,f,f,t,,
42,hikvision,ds-2cd7254f-e-i-z-h,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Dome,t,t,f,t,t,f,t,47:14.4,28:02.9,ds-2cd7254f-eizh,f,admin,12345,,f,f,t,,
41,hikvision,ds-2cd2312-i,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,f,f,t,47:14.2,28:02.9,ds-2cd2312-i,f,admin,12345,,f,f,t,,
40,hikvision,ds-2cd2332-i,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Dome,t,t,f,t,f,f,t,47:14.1,28:03.0,ds-2cd2332-i,f,admin,12345,,f,f,t,,
53,hikvision,ds-2cd2232-i5,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Bullet,t,t,f,t,f,f,t,47:15.6,28:02.1,ds-2cd2232-i5,f,admin,12345,,f,f,t,,
54,hikvision,ds-2cd2212-i5,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Bullet,t,t,f,t,f,f,t,47:15.7,28:02.1,ds-2cd2212-i5,f,admin,12345,,f,f,t,,
57,hikvision,ds-2cd2032-i,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Bullet,t,t,f,t,f,f,t,47:16.1,28:02.1,ds-2cd2032-i,f,admin,12345,,f,f,t,,
58,hikvision,ds-2cd2012-i,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Bullet,t,t,f,t,f,f,t,47:16.2,28:02.1,ds-2cd2012-i,f,admin,12345,,f,f,t,,
59,hikvision,ds-2cd864-ei3,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Bullet,t,t,f,t,f,f,t,47:16.3,28:02.2,ds-2cd864-ei3,f,admin,12345,,f,f,t,,
74,hikvision,ds-2cd2715f-is-r,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,f,f,t,47:18.1,28:02.2,ds-2cd2715f-isr,f,admin,12345,,f,f,t,,
78,hikvision,ds-2cd2035-i,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Bullet,t,t,f,t,f,f,t,47:18.6,28:02.2,ds-2cd2035-i,f,admin,12345,,f,f,t,,
79,hikvision,ds-2cd2015-i,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Bullet,t,t,f,t,f,f,t,47:18.7,28:02.2,ds-2cd2015-i,f,admin,12345,,f,f,t,,
75,hikvision,ds-2cd2615-is-r,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Bullet,t,t,f,t,f,f,t,47:18.2,28:02.3,ds-2cd2615-isr,f,admin,12345,,f,f,t,,
91,hikvision,ds-2cd8133f-e-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,640x480,Box,t,t,f,f,f,f,f,47:20.2,28:03.2,ds-2cd8133f-e-discontinued,t,admin,12345,,t,f,t,,
90,hikvision,ds-2cd763p-n-f-e-i-z-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,t,f,f,47:20.1,28:03.2,ds-2cd763pnf-eiz-discontinued,t,admin,12345,,t,f,t,,
89,hikvision,ds-2cd7133-e-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,640x480,Dome,t,t,f,f,f,f,f,47:19.9,28:03.3,ds-2cd7133-e-discontinued,f,admin,12345,,t,f,t,,
88,hikvision,ds-2cd7353f-e-i-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1600x1200,Dome,t,t,f,t,f,f,t,47:19.8,28:03.3,ds-2cd7353f-ei-discontinued,f,admin,12345,,t,f,t,,
86,hikvision,ds-2cd802-slash-812-slash-892p-n-ir3-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,pal:704x576;ntsc:704x480,Bullet,f,f,f,t,f,f,f,47:19.6,28:03.3,ds-2cd802812892pn-ir3-discontinued,t,admin,12345,,t,f,f,,
85,hikvision,ds-2cd802-slash-812-slash-892p-n-ir5-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,pal:704x576;ntsc:704x480,Bullet,f,f,f,t,f,f,f,47:19.4,28:03.3,ds-2cd802812892pn-ir5-discontinued,t,admin,12345,,t,f,f,,
81,hikvision,ds-2cd8153f-e-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1600x1200,Box,t,t,f,f,f,f,f,47:18.9,28:03.4,ds-2cd8153f-e-discontinued,t,admin,12345,,t,f,t,,
80,hikvision,ds-2cd893pf-e-version-no-dot-1,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,704x576,Box,t,t,f,f,f,f,f,47:18.8,28:03.0,ds-2cd893pf-e-version-no1,t,admin,12345,,f,f,t,,
82,hikvision,ds-2cd876bf-mf-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1600x1200,Box,t,t,f,f,f,f,f,47:19.0,28:03.0,ds-2cd876bfmf-discontinued,t,admin,12345,,t,f,f,,
83,hikvision,ds-2cd863p-n-f-e-w-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Box,t,t,f,f,f,f,f,47:19.2,28:03.0,ds-2cd863pnf-ew-discontinued,t,admin,12345,,t,t,t,,
92,hikvision,ds-2cd752mf-e-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1600x1200,Dome,f,f,f,f,f,f,f,47:20.3,28:03.1,ds-2cd752mf-e-discontinued,t,admin,12345,,t,f,f,,
93,hikvision,ds-2cd832f-e-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,704x576,Box,t,t,f,f,f,f,f,47:20.4,28:03.1,ds-2cd832f-e-discontinued,t,admin,12345,,t,f,f,,
95,hikvision,ds-2cd752mf-i-fb-h-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1600x1200,Dome,t,t,f,t,f,f,f,47:20.7,28:03.1,ds-2cd752mf-ifbh-discontinued,t,admin,12345,,t,f,f,,
96,hikvision,ds-2cd762mf-i-fb-h-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,f,f,f,47:20.8,28:03.1,ds-2cd762mf-ifbh-discontinued,t,admin,12345,,t,f,f,,
94,hikvision,ds-2cd702/712p-n-f-e-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,pal:704x576;ntsc:704x480,Dome,t,t,f,f,f,f,f,47:20.6,28:03.2,ds-2cd702712pnf-e-discontinued,t,admin,12345,,t,f,t,,
313,hikvision,ds-2cd8264fwd-ei-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Bullet,f,f,f,t,t,f,f,47:46.5,28:05.4,ds-2cd8264fwd-eiz,f,admin,12345,,f,f,t,,
873,hikvision,ds-2cd8153f-e,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1600x1200,Box,t,t,f,f,f,t,f,48:52.7,28:13.1,ds-2cd8153f-e,t,admin,12345,,t,f,t,,http://www.hikvision.com/en/products_show.asp?id=410
874,hikvision,ds-2cd876bf-mf,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1600x1200,Box,t,t,f,f,f,t,f,48:52.8,28:13.2,ds-2cd876bfmf,t,admin,12345,,t,f,f,,http://www.hikvision.com/en/products_show.asp?id=90
875,hikvision,ds-2cd863p-n-f-e-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Box,t,t,f,f,f,t,f,48:52.9,28:13.2,ds-2cd863pnf-ew,t,admin,12345,,t,t,t,,http://www.hikvision.com/en/products_show.asp?id=500
876,hikvision,ds-2cd802-slash-812p-n-f-e-w,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,ntsc:704x480/pal:704x576,Box,f,f,f,f,f,t,f,48:53.0,28:13.2,ds-2cd802812pnf-ew,t,admin,12345,,t,t,f,,http://www.hikvision.com/en/products_show.asp?id=481
882,hikvision,ds-2cd763p-n-f-e-i-z,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,t,t,f,48:53.8,28:13.4,ds-2cd763pnf-eiz,t,admin,12345,,t,f,t,,http://www.hikvision.com/en/products_show.asp?id=503
881,hikvision,ds-2cd7133-e,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,640x480,Dome,t,t,f,f,f,f,f,48:53.7,28:13.4,ds-2cd7133-e,f,admin,12345,,t,f,t,,http://www.hikvision.com/en/products_show.asp?id=504
880,hikvision,ds-2cd7353f-e-i,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1600x1200,Dome,t,t,f,t,f,t,t,48:53.5,28:13.5,ds-2cd7353f-ei,f,admin,12345,,t,f,t,,http://www.hikvision.com/en/products_show.asp?id=7364
879,hikvision,ds-2cd802-slash-812-slash-892p-n-ir1,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,ntsc:704x480/pal:704x576,Bullet,f,f,f,t,f,f,f,48:53.4,28:13.5,ds-2cd802812892pn-ir1,t,admin,12345,,t,f,f,,http://www.hikvision.com/en/products_show.asp?id=497
878,hikvision,ds-2cd802-slash-812-slash-892p-n-ir3,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,ntsc:704x480/pal:704x576,Bullet,f,f,f,t,f,f,f,48:53.3,28:13.5,ds-2cd802812892pn-ir3,t,admin,12345,,t,f,f,,http://www.hikvision.com/en/products_show.asp?id=499
877,hikvision,ds-2cd802-slash-812-slash-892p-n-ir5,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,ntsc:704x480/pal:704x576,Bullet,f,f,f,t,f,f,f,48:53.2,28:13.5,ds-2cd802812892pn-ir5,t,admin,12345,,t,f,f,,http://www.hikvision.com/en/products_show.asp?id=502
884,hikvision,ds-2cd752mf-e,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1600x1200,Dome,f,f,f,f,f,t,f,48:54.0,28:13.3,ds-2cd752mf-e,t,admin,12345,,t,f,f,,http://www.hikvision.com/en/products_show.asp?id=28
885,hikvision,ds-2cd832f-e,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,704x576,Box,t,t,f,f,f,t,f,48:54.1,28:13.3,ds-2cd832f-e,t,admin,12345,,t,f,f,,http://www.hikvision.com/en/products_show.asp?id=27
887,hikvision,ds-2cd752mf-i-fb-h,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1600x1200,Dome,t,t,f,t,f,t,f,48:54.4,28:13.3,ds-2cd752mf-ifbh,t,admin,12345,,t,f,f,,http://www.hikvision.com/en/products_show.asp?id=494
888,hikvision,ds-2cd762mf-i-fb-h,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,1280x960,Dome,t,t,f,t,f,t,f,48:54.5,28:13.3,ds-2cd762mf-ifbh,t,admin,12345,,t,f,f,,http://www.hikvision.com/en/products_show.asp?id=484
883,hikvision,ds-2cd8133f-e,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,640x480,Box,t,t,f,f,f,t,f,48:53.9,28:13.4,ds-2cd8133f-e,t,admin,12345,,t,f,t,,http://www.hikvision.com/en/products_show.asp?id=412
889,hikvision,ds-2cd732f-e,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,704x576,Dome,t,t,f,f,f,t,f,48:54.6,28:58.8,ds-2cd732f-e,t,admin,12345,,t,f,f,,http://www.hikvision.com/en/products_show.asp?id=30
886,hikvision,ds-2cd702-slash-712p-n-f-e,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,ntsc:704x480/pal:704x576,Dome,t,t,f,f,f,t,f,48:54.2,28:58.8,ds-2cd702712pnf-e,t,admin,12345,,t,f,t,,http://www.hikvision.com/en/products_show.asp?id=1922
97,hikvision,ds-2cd732f-e-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,704x576,Dome,t,t,f,f,f,f,f,47:21.0,28:58.9,ds-2cd732f-e-discontinued,t,admin,12345,,t,f,f,,
87,hikvision,ds-2cd802-slash-812-slash-892p-n-ir1-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,pal:704x576;ntsc:704x480,Bullet,f,f,f,t,f,f,f,47:19.7,28:58.9,ds-2cd802812892pn-ir1-discontinued,t,admin,12345,,t,f,f,,
84,hikvision,ds-2cd802-slash-812p-n-f-e-w-discontinued,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,pal:704x576;ntsc:704x480,Box,f,f,f,f,f,f,f,47:19.3,28:58.9,ds-2cd802812pnf-ew-discontinued,t,admin,12345,,t,t,f,,
77,hikvision,ds-2cd2135-i,Streaming/Channels/1/picture,h264/ch1/main/av_stream,,2048x1536,Dome,t,t,f,t,f,f,t,47:18.4,28:58.9,ds-2cd2135-i,f,admin,12345,,f,f,t,,
